Category,Product,Volume (mL),ABV (%),qty,Current Price ($),Regular Price ($),mL / $,mL / $ (sale)
Beer,Lost Craft Sirius 473ml,,,1,,,,
Beer,Savoies BrewHouse Chaleur Phantom Amber Ale 473ml,473,5.0,1,4.21,4.21,5.617577197149644,5.617577197149644
Beer,Savoies BrewHouse Charlo Falls IPA 473ml,473,5.0,1,4.21,4.21,5.617577197149644,5.617577197149644
Beer,Savoies BrewHouse Island Lake Blonde 473ml,473,5.0,1,4.21,4.21,5.617577197149644,5.617577197149644
Beer,Garrison Lemondrop 473ml,473,5.0,1,4.25,4.25,5.564705882352942,5.564705882352942
Beer,Garrison Wicked Good Pale Ale 473ml,,,1,,,,
Beer,Graystone Brewing Patagonia Pale Ale 473ml,473,5.0,1,4.25,4.25,5.564705882352942,5.564705882352942
Beer,Hammond River Gammie California Steam Ale 500ml,500,5.3,1,4.25,4.25,6.235294117647059,6.235294117647059
Beer,Innis & Gunn Mangos On The Run 500ml,500,5.6,1,3.99,3.99,7.0175438596491215,7.0175438596491215
Beer,Tatamagouche North Shore Lagered Ale 473ml,,,1,,,,
Beer,TrailWay Luster Session Ale 473ml,473,4.0,1,4.25,4.25,4.451764705882353,4.451764705882353
Beer,TrailWay Rype APA 473ml,473,5.0,1,4.25,4.25,5.564705882352942,5.564705882352942
Beer,Garrison Dirty Ol' Town Black IPA 473ml,,,1,,,,
Beer,Grolsch Lager 450ml,450,5.0,1,4.29,4.29,5.244755244755245,5.244755244755245
Beer,Nine Locks Harvest Pumpkin Ale 473ml,,,1,,,,
Beer,Nine Locks IPA 473ml,,,1,,,,
Beer,Nine Locks Watermelon Blonde 473ml,,,1,,,,
Beer,Belching Beaver Me So Honey 355ml,,,1,,,,
Beer,Hammond River Red Coat India Red Ale 500ml,,,1,,,,
Beer,Savoies BrewHouse Charlo Falls IPA 500ml,,,1,,,,
Beer,Dead Frog Green Magic IPA 473ml,,,1,,,,
Beer,Muskoka Hazed & Confused 473ml,,,1,,,,
Beer,2 Crows Brewing Pollyanna Wild NE IPA 473ml,,,1,,,,
Beer,Beaus Full Time IPA 473ml,,,1,,,,
Beer,Collective Arts Project IPA #4 473ml,,,1,,,,
Beer,Collective Arts Wet Hop Wheat Ale 473ml,,,1,,,,
Beer,Hammond River Blood Orange Hefeweizen 500ml,,,1,,,,
Beer,Hammond River Blueberry Ale 500ml,,,1,,,,
Beer,Lake Of Bays Wild North Pumpkin Ale 473ml,,,1,,,,
Beer,Les Trois Mousquetaires Gose 375ml,,,1,,,,
Beer,Lost Craft Crimzen 473ml,473,4.7,1,4.9,4.9,4.536938775510204,4.536938775510204
Beer,Picaroons Double IPA 500ml,500,8.0,1,4.5,4.5,8.88888888888889,8.88888888888889
Beer,Picaroons Winter Warmer 500ml,500,7.5,1,4.95,4.95,7.575757575757575,7.575757575757575
Beer,TrailWay Black Hops Black IPA 473ml,473,5.0,1,3.69,3.69,6.409214092140922,6.409214092140922
Beer,TrailWay Good Aura Hoppy Amber 473ml,473,6.8,1,4.5,4.5,7.147555555555556,7.147555555555556
Beer,TrailWay Seasonal 473ml,473,6.0,1,4.5,4.5,6.306666666666667,6.306666666666667
Beer,Tuque de Broue Barbe Blanche 473ml,,,1,,,,
Beer,Tuque de Broue Gougounes Rousses 473ml,,,1,,,,
Beer,Loyalist City Black 47 Irish Stout 473ml,473,4.7,1,4.55,4.55,4.885934065934067,4.885934065934067
Beer,Loyalist City Three Sisters Pale Ale 473ml,473,6.0,1,4.55,4.55,6.237362637362637,6.237362637362637
Beer,Colt 45 710ml,710,8.0,1,4.79,4.79,11.858037578288101,11.858037578288101
Beer,Colt 45 710ml,,,1,,,,
Beer,Collective Arts State Of Mind Session IPA 473ml,,,1,,,,
Beer,PEI Brewing After Hours Raspberry Sour 473ml,473,5.0,1,4.49,4.49,5.2672605790645886,5.2672605790645886
